Explanations,,,,,,,,,,,,,General study info and demographics,,,,,,,,,,,,,,,Design,,,,,Variables,,,,,,Conditions,,,,,,,,,,,,,,"If DV is a scale (If has M, SD, N info for ANOVA/t-test), if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,,"If DV is counts of participants, if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,If DV is proportions,,,,,,,,,,,,,,,,,,,,,,,,"* SUMMARY section - Converting all effects to Cohen's d. REMEMBER - this is ONLY about the contrast for the effect you care about, NOT the general effect",,,,,,,,,,,,,Moderators,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,,,,,Statistics,,,,,,,,,,,,,,,,,,,Descriptives,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,Statistics,,,,,,,,,,,,,,,,,,,,If DV was scale,,,,If DV was counts,,If DV was proportions,,,,,,,,,,,,,,,,,,,,,,
,Epstein et al. (1992),39,1,1,1,3,"Experiment 1: Only Vignette A, original results are reported in percentages, coding was done for counts because needed to exclude participants and calculate new group sizes, DV: negative affect (rational orientation)",Lucas,8/4/2017,Completed,Gilad,22/8/2017,Yes,Laboratory,Students,USA,83,44,"Excluded participants who rated that progonists with routine and protagonist with exceptional behavior would feel the same. No difference respond: 47%, 83*0.47=39.01 -> 39 excluded participants, 83-39=44",,,,,,,,,1,1x2,1x1,"only included Vignette A because Vignette B,C,D did not manipulate past behavior, original outcome intensity manipulations did not reveals differences and were collapsed by the authors",No manipulation (comparison),usual vs. unusual behavior,low-intensity outcome vs. high-intensity outcome,Measured/compared,driving home on a exceptional route vs. driving home on a usual route,low intensity outcome: car damage of $100 vs. high intensity outcome: serious injouries and totaled cars,,exceptional route home,usual route home,Yes,original outcome intensity manipulations did not reveals differences and were collapsed by the authors,,,Ns reported in the article,,negative affect (rational orientation),"Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White? In Part 3 (rational orientation), subjects received the following instructions: Please respond to the same events as in Part I, but this time give a strictly logical response rather than one based on how you think people actually react in such situations. Put your emotions aside, and decide who actually behaved more foolishly in terms of bringing about the unfortunate event that occurred.",1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p.332, Table 2",39,5,"Exceptional: 47%, 83*0.47= 39.01-> 39 participants , Usual: 6%, 83*0.06= 4.98 -> 5 participants",,,,,,,,,,,,,26.273,,,,,,,,"Chi square calculation with actual numbers using http://graphpad.com/quickcalcs/chisquared1/, plugged in observed1= 39 , observed2 = 5, expected1 = 22 , expected2= 22 , Output: Chi square = 26.273 , df=1, p<0.0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43482194,,,,"conversion for Chi-square to Cohen d, plugged in N= 44 and Chi-square = 26.273, Output: Cohen's d = 2.43482194",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,2.43482194,"Mr. Adams was involved in a [minor] [serious ] accident when driving home after work on his regular route. Before leaving work, he had thought about taking another route for a change in scenery, but then decided against it. Mr. White was involved in a similar accident when driving through a similar neighborhood on a route that he only takes when he wants a change of scenery. [In both cases an object fell off a truck in front of them. Neither of them could avoid hitting it, and each of their cars sustained $100 worth of damage.] [In both cases an oil drum fell off a truck in front of them and hit their front wheels. It caused each of their cars to crash into a telephone pole. Each of the cars was totaled and each driver sus- tained serious injuries.] Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?",1,driving home,1,,1,"""a route that he only takes when he wants a change of scenery.""",3,1,"negative affect - ""Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?""",0,A car accident of 100US$ is an normal occurence,0,car accident of 100US$,high frequency (often/regularly/most times/habit,"""n driving home after work on his regular route."""
,Epstein et al. (1992),39,2,1,1,1,"Experiment 2: Only Vignette A, original results are reported in percentages, coding was done for counts because needed to exclude participants and calculate new group sizes, DV: negative affect (protagonist orientation)",Lucas,8/4/2017,Completed,Gilad,22/8/2017,Yes,Laboratory,Students,USA,115,107,"Excluded participants who rated that progonists with routine and protagonist with exceptional behavior would feel the same. No difference respond: 7%, 115*0.07=8.05 -> 8 participants excluded, 115-8=107",,,,,,,,,1,1x1,1x1,"only included Vignette A because Vignette B,C,D did not manipulate past behavior, original outcome intensity manipulations did not reveals differences and were collapsed by the authors",No manipulation (comparison),usual vs. unusual behavior,low-intensity outcome vs. high-intensity outcome,Measured/compared,driving home on a exceptional route vs. driving home on a usual route,low intensity outcome: car damage of $100 vs. high intensity outcome: serious injouries and totaled cars,,exceptional route home,usual route home,Yes,original outcome intensity manipulations did not reveals differences and were collapsed by the authors,,,Ns reported in the article,,negative affect (protagonist orientation),"Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White? Part 1 (protagonist orientation), subjects received the following written instructions: Your job is to indicate whether, and, if so, how much the people involved would react differently in the two versions of each incident. Assume the people react like most people would in similar situations.",1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p.335, Table 3",91,16,"Exceptional: 79%, 115*0.79= 90.85 -> 91 participants, Usual: 14%, 115*0.14= 16.1 -> 16 participants",,,,,,,,,,,,,52.57,,,,,,,,"Chi square calculation with actual numbers using http://graphpad.com/quickcalcs/chisquared1/, plugged in observed1= 91 , observed2 = 16 , expected1 = 53.5 , expected2= 53.5 , Output: Chi square = 52.570 , df=1, p< 52.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96553063,,,,"conversion for Chi-square to Cohen d, plugged in N= 107 and Chi-square = 52.57, Output: Cohen's d = 1.96553063",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.96553063,"Mr. Adams was involved in a [minor] [serious ] accident when driving home after work on his regular route. Before leaving work, he had thought about taking another route for a change in scenery, but then decided against it. Mr. White was involved in a similar accident when driving through a similar neighborhood on a route that he only takes when he wants a change of scenery. [In both cases an object fell off a truck in front of them. Neither of them could avoid hitting it, and each of their cars sustained $100 worth of damage.] [In both cases an oil drum fell off a truck in front of them and hit their front wheels. It caused each of their cars to crash into a telephone pole. Each of the cars was totaled and each driver sus- tained serious injuries.] Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?",1,driving home,1,,1,"""a route that he only takes when he wants a change of scenery.""",3,1,"negative affect - ""Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?""",0,A car accident of 100US$ is an normal occurence,0,car accident of 100US$,high frequency (often/regularly/most times/habit,"""n driving home after work on his regular route."""
,Epstein et al. (1992),39,2,1,1,2,"Experiment 2: Only Vignette A, original results are reported in percentages, coding was done for counts because needed to exclude participants and calculate new group sizes, DV: negative affect (self-orientation)",Lucas,8/4/2017,Completed,Gilad,22/8/2017,Yes,Laboratory,Students,USA,115,104,"Excluded participants who rated that progonists with routine and protagonist with exceptional behavior would feel the same. No difference respond: 10%, 115*0.10=11.5 -> 11 participants excluded, 115-11=104",,,,,,,,,1,1x1,1x1,"only included Vignette A because Vignette B,C,D did not manipulate past behavior, original outcome intensity manipulations did not reveals differences and were collapsed by the authors",No manipulation (comparison),usual vs. unusual behavior,low-intensity outcome vs. high-intensity outcome,Measured/compared,driving home on a exceptional route vs. driving home on a usual route,low intensity outcome: car damage of $100 vs. high intensity outcome: serious injouries and totaled cars,,exceptional route home,usual route home,Yes,original outcome intensity manipulations did not reveals differences and were collapsed by the authors,,,Ns reported in the article,,negative affect (self-orientation),"Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White? In Part 2 (self-orientation), they received the following instructions: Please respond to the same events as before, but this time indicate how you would probably react to the different versions of the situations if they happened to you. Base your responses on how you have reacted to similar situations in the past.",1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p.335, Table 3",89,15,"Exceptional: 77%, 115*0.77= 88.55 -> 89 particiapants , Usual: 13%, 115*0.13= 14.95 -> 15 participants",,,,,,,,,,,,,52.654,,,,,,,,"Chi square calculation with actual numbers using http://graphpad.com/quickcalcs/chisquared1/, plugged in observed1=89 , observed2 =15 , expected1 = 52 , expected2= 52 , Output: Chi square = 52.654 , df=1, p= 0.0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02531403,,,,"conversion for Chi-square to Cohen d, plugged in N= 104 and Chi-square = 52.654, Output: Cohen's d = 2.02531403",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,2.02531403,"Mr. Adams was involved in a [minor] [serious ] accident when driving home after work on his regular route. Before leaving work, he had thought about taking another route for a change in scenery, but then decided against it. Mr. White was involved in a similar accident when driving through a similar neighborhood on a route that he only takes when he wants a change of scenery. [In both cases an object fell off a truck in front of them. Neither of them could avoid hitting it, and each of their cars sustained $100 worth of damage.] [In both cases an oil drum fell off a truck in front of them and hit their front wheels. It caused each of their cars to crash into a telephone pole. Each of the cars was totaled and each driver sus- tained serious injuries.] Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?",1,driving home,1,,1,"""a route that he only takes when he wants a change of scenery.""",3,1,"negative affect - ""Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?""",0,A car accident of 100US$ is an normal occurence,0,car accident of 100US$,high frequency (often/regularly/most times/habit,"""n driving home after work on his regular route."""
,Epstein et al. (1992),39,2,1,1,3,"Experiment 2: Only Vignette A, original results are reported in percentages, coding was done for counts because needed to exclude participants and calculate new group sizes, DV: negative affect (rational orientation)",Lucas,8/4/2017,Completed,Gilad,22/8/2017,Yes,Laboratory,Students,USA,115,25,"Excluded participants who rated that progonists with routine and protagonist with exceptional behavior would feel the same. No difference respond: 78%, 115*0.78= 89.7 -> 90 participants excluded, 115-90=25",,,,,,,,,1,1x1,1x1,"only included Vignette A because Vignette B,C,D did not manipulate past behavior, original outcome intensity manipulations did not reveals differences and were collapsed by the authors",No manipulation (comparison),usual vs. unusual behavior,low-intensity outcome vs. high-intensity outcome,Measured/compared,driving home on a exceptional route vs. driving home on a usual route,low intensity outcome: car damage of $100 vs. high intensity outcome: serious injouries and totaled cars,,exceptional route home,usual route home,Yes,original outcome intensity manipulations did not reveals differences and were collapsed by the authors,,,Ns reported in the article,,negative affect (rational orientation),"Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White? In Part 3 (rational orientation), subjects received the following instructions: Please respond to the same events as in Part I, but this time give a strictly logical response rather than one based on how you think people actually react in such situations. Put your emotions aside, and decide who actually behaved more foolishly in terms of bringing about the unfortunate event that occurred.",1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p.335, Table 3",21,5,"Exceptional: 18%, 115*0.18= 20.7-> 21 participants , Usual: 4%, 115*0.04=4.6 -> 5 participants",,,,,,,,,,,,,9.846,,,,,,,,"Chi square calculation with actual numbers using http://graphpad.com/quickcalcs/chisquared1/, plugged in observed1= 21 , observed2 = 5 , expected1 = 13 , expected2= 13 , Output: Chi square = 9.846 , df=1, p= 0.0017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61211593,,,,"conversion for Chi-square to Cohen d, plugged in N= 25 and Chi-square = 9.846, Output: Cohen's d = 1.61211593",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.61211593,"Mr. Adams was involved in a [minor] [serious ] accident when driving home after work on his regular route. Before leaving work, he had thought about taking another route for a change in scenery, but then decided against it. Mr. White was involved in a similar accident when driving through a similar neighborhood on a route that he only takes when he wants a change of scenery. [In both cases an object fell off a truck in front of them. Neither of them could avoid hitting it, and each of their cars sustained $100 worth of damage.] [In both cases an oil drum fell off a truck in front of them and hit their front wheels. It caused each of their cars to crash into a telephone pole. Each of the cars was totaled and each driver sus- tained serious injuries.] Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?",1,driving home,1,,1,"""a route that he only takes when he wants a change of scenery.""",3,1,"negative affect - ""Who do you think felt more foolish for taking the route he took, Mr. Adams or Mr. White?""",0,A car accident of 100US$ is an normal occurence,0,car accident of 100US$,high frequency (often/regularly/most times/habit,"""n driving home after work on his regular route."""
,Valshtein & Seta (2016),55,1,1,1,1,"only Study 1 reports measures of personality that can be used create consistency contrast: conscientious person is oversleeping for class (exception) vs. non conscientious oversleeping for class (usual), Study 2 and 3 were excluded",Lucas,8/4/2017,Completed,Gilad,22/8/2017,No,Laboratory,Students,USA,167,167,,,,,,,,,,1,2x2,1x2,collapsed low and high severity condition to a 1x2 design,Between,behave inconsistent to ones personality vs. behave consistent with ones personality,low vs. high severity,Manipulated,conscientious person is oversleeping for class (exception) vs. non conscientious oversleeping for class (usual),high (missed a quiz that would impact Sam’s grade) or low severity (no consequences for missing class) of outcome,,deviating from personality,act in line with personality,Yes,high and low severity conditions were collapsed,83,84,Ns computed from df,"only total N=167 reported, 167/2 conditions = 83.5 -> exceptional: 83, usual: 84",regret,“How much regret do you think Sam felt?” (0 to 10 Scale),1 - regret,No,No,Yes,"High Severity, Low Conscientiousness: M = 7.48, 1.69, High Severity, High Conscientiousness: M = 8.19 SD = 1.66, Low Severity, Low Conscientiousness: M = 3.16, SD = 2.06,  Low Severity, High Conscientiousness: M = 6.29, SD = 2.24",,7.24,5.32,1.95,1.875,Reported for each cell,"collapsed seversity conditions, calculated common Mean and SD high and low severity conditions. High conscientiousness: M = (8.19 + 6.29) / 2 = 7.24 ,  SD= (1.66 + 2.24) / 2 = 1.95, Low conscientiousness: M = (7.48 +  3.16) / 2 = 5.32, SD = ( 1.69 + 2.06 ) = 1.875",,,,,,,,,,,,1.00372864,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=7.24, SD1=1.95, M2 = 5.32, SD2= 1.875, Output: Cohen's d = 1.00372864",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00372864,,,,,,,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=7.24, SD1=1.95, M2 = 5.32, SD2= 1.875, Output: Cohen's d = 1.00372864",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.00372864,"Participants were asked to read vignettes of a fictional student, “Sam”. We manipulated the personality of Sam, such that Sam was either highly conscientious or not conscientious (based on a description of her). Furthermore, we described a scenario where in a behavior (oversleeping for class) led to an outcome that was either high (missed a quiz that would impact Sam’s grade) or low severity (no consequences for missing class)",1,going to school/oversleeping,1,,0,oversleeping is not a conscious deliberate decision,1,1,regret,0,"oversleeping is rather common, not as rare as rape/murder/crimes (Gilad)",0,oversleeping - tolerable/short-term/non-lasting impact,high frequency (often/regularly/most times/habit,Personality is rather stable and consistent
,Kutscher & Feldman (2019),58,1,1,1,1,,Lucas,8/5/2017,Completed,Gilad,22/8/2017,No,On-line,General population,USA,347,342,,38.28,11.55,156,182,4,,,,1,1x1,1x1,,No manipulation (comparison),exception vs. usual behavior,,Measured/compared,a man is taking a hitchhiker although he never does vs. a man that always takes hitchhikers give someone a ride,,,making an exception and take a hitchhiker,follow past behavior and take a hitchhiker,,,,,,,regret,"""Who do you expect to experience greater regret over the episode? (Mr. Jones/Mr. Smith)”. ",1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 1,,315,27,,"Most participants associated higher regret with Mr. Jones (315, 92%) rather than Mr. Smith (27, 8%; χ² (1, N=342) = 242.53, p < .001).",,1,p < .001,Two tail p,< 0.00001,Yes,,,,,242.53,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12296179,,,,"conversion for Chi-square to Cohen d, plugged in N = 342 and Chi-square = 242.53, Output for Cohen's d: 3.12296179",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,3.12296179,Mr. Jones almost never takes hitch-hikers in his car. Yesterday he gave a man a ride and was robbed. Mr. Smith frequently takes hitch-hikers in his car. Yesterday he gave a man a ride and was robbed. Who do you expect to experience greater regret over the episode?,1,Exception was through taking action - taking a hitchhiker,1,,1,Taking hitchhikers or not lies in the choice of the driver and is therefor controllable,1,1,"Regret - ""Who do you expect to experience greater regret over the episode?""",1,Getting robbed is an abnormal outcome,1,getting robbed - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"frequently - ""Mr. Smith frequently takes hitch-hikers"""
,Kutscher & Feldman (2019),58,1,1,2,1,,Lucas,8/5/2017,Completed,Gilad,22/8/2017,No,On-line,General population,USA,347,342,,38.28,11.55,156,182,4,,,,1,1x1,1x1,,No manipulation (comparison),exception vs. routine,,Measured/compared,driving an exceptional route home vs. driving the usual route home,,,taking exceptional route,taking the routine route,,,,,,,upset,“Who is more upset over the accident? (Mr. Adams/Mr. White). “,1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 2,,277,65,,"Replicating the original results, most participants associated stronger regret with the exceptional behavior of Mr. White (277, 81%) than to the routine behavior of Mr. Adams (65, 19%; χ² (1, N = 342) = 131.42, p < .001). ",,1,p < .001,Two tail p,< 0.00001,Yes,,,,,131.42,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5799821,,,,"conversion for Chi-square to Cohen d, plugged in N = 342 and Chi-square = 131.42, Output for Cohen's d: 1.5799821",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.5799821,Mr. Adams was involved in an accident when driving home after work on his regular route. Mr. White was involved in a similar accident when driving on a route that he only takes when he wants a change of scenery. Who is more upset over the accident?,1,Exception was through taking action - driving home ,1,,1,"Exceptional route was chosen for a ""change of scenery""",1,1,"Regret - ""Who is more upset over the accident?""",99,"car accident, hard to tell how severe from description",99,"car accident, hard to tell how severe from description",high frequency (often/regularly/most times/habit,"regular - ""driving home after work on his regular route"". "
,Kutscher & Feldman (2019),58,1,1,3,1,DV compensation,Lucas,8/20/2017,Completed,Gilad,22/8/2017,No,On-line,General population,USA,347,347,,38.28,11.55,156,182,4,,,,3,1x2,1x2,only routine vs. combined exception,Between,unusual vs. usual behavior,,Manipulated,shopping at a unusual market vs. shopping at the regular market ,,,shopping at a unusual market,shopping at the regular market ,Yes,only uncontrollable exception,228,114,Ns reported in the article,,compensation,"Participants were asked to evaluate compensation to be awarded to the victim: “How much money should Mr. Paul receive in compensation for his loss? (11-point scale: 0 – 0 $ to 10 – 1,000,000 $; typical award: 500,000 $)”.",3 - compensation,No,No,Yes,,,5.57,5.34,2.61,2.37,Reported for each cell,,,"p.30, Table 4",,,,,,,,,,0.09,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.0218369,,,,,,,No,,0.09,Two convenience stores are located in Mr. Paul’s neighborhood. He frequents Store A more regularly than Store B. [Routine behavior condition: Last night he visited Store A. Self-produced exception condition: Last night he visited Store B because he wanted a change of pace. Other-produced exception condition: Last night he visited Store B because Store A was temporarily closed for renovations.] He walked in on a robbery occurring in the store. He lost the use of his right arm as a result of a gunshot wound.,1,going shopping,1,,99,controllable and uncontrollable exception were collapsed,3,3,Compensation,1,Loosing the use of an arm in a robbery is coded as exceptional outcome,1,losing use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""He frequents Store A more regularly than Store B"""
,Kutscher & Feldman (2019),58,1,1,3,2,DV regret,Lucas,8/20/2017,Completed,Gilad,22/8/2017,No,On-line,General population,USA,347,347,,38.28,11.55,156,182,4,,,,3,1x2,1x2,only routine vs. combined exception,Between,unusual vs. usual behavior,,Manipulated,shopping at a unusual market vs. shopping at the regular market ,,,shopping at a unusual market,shopping at the regular market ,Yes,only uncontrollable exception,228,114,Ns reported in the article,,regret,Participants rated regret - “Assume there was no compensation given to Mr. Paul. How much regret does he feel over the situation?” (0 – no regret to 4 – very strong regret).,1 - regret,No,No,Yes,,,4.43,3.95,0.87,1.12,Reported for each cell,,,"p.30, Table 4",,,,,,,,,,0.5,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.3953697,,,,,,,No,,0.5,Two convenience stores are located in Mr. Paul’s neighborhood. He frequents Store A more regularly than Store B. [Routine behavior condition: Last night he visited Store A. Self-produced exception condition: Last night he visited Store B because he wanted a change of pace. Other-produced exception condition: Last night he visited Store B because Store A was temporarily closed for renovations.] He walked in on a robbery occurring in the store. He lost the use of his right arm as a result of a gunshot wound.,1,going shopping,1,,99,controllable and uncontrollable exception were collapsed,1,1,Regret,1,Loosing the use of an arm in a robbery is coded as exceptional outcome,1,losing use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""He frequents Store A more regularly than Store B"""
,Seta et al. (2013),40,1,1,1,1,change goal condition,Lucas,8/6/2017,Completed,Gilad,23/8/2017,Yes,Laboratory,Students,USA,59,59,spitted into change goal condition and goal maintainace condition. Total N =119/2 conditions=59.5,,,,,,,,,4,2x2,1x2,splitted change goal conditions and goal maintanance condition leading to two 1x2 designs for contrasting atypical and typical behavior,Between,atypical vs. typical behavior,change goal condition vs goal maintainance condition,Manipulated,behavior that is atypical to a certain habit vs. behavior that is typical,the will to either change or maintain the habit,,behavior that is atypical to a certain habit,behavior that is typical to a certain habit,Yes,splitted change goal conditions and goal maintanance condition leading to two 1x2 designs for contrasting atypical and typical behavior,29,30,Ns computed from df,"Only total N provided, calculated conditions N: 59 / 2 = 29.5",regret,"In all cases, participants were asked specifically to think about a time when their decision produced a mildly negative outcome. Following this ret- rospection, we asked participants to indicate their level of regret on a 10 point scale in which ‘‘1’’ indicated no regret and ‘‘10’’ indicated tremendous regret.",1 - regret,No,No,Yes,,"p.180, Table 1",4.85,6.35,1.92,1.56,,,,,,,,,,,,,,-0.85749293,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=4.85, SD1=1.92, M2 = 6.35 , SD2= 1.56 , Output: Cohen's d = - 0.85749293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85749293,,,,,,,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=4.85, SD1=1.92, M2 = 6.35 , SD2= 1.56 , Output: Cohen's d = - 0.85749293",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,-0.85749293,"Participants were asked, via written instructions, to retrospect about a particular habit or characteristic that they both liked and wanted to maintain, or disliked and wanted to change. In addition, they behaved in a way that was either similar or different from this habit or characteristic. So, participants were asked to think about a characteristic or habit they wanted to either change or maintain and to recall a time in which they made decision having negative outcomes that involved doing something that was either similar or different from this characteristic or habit. Ret- rospection procedures are commonly used in research investigating regret and have been shown to be realistic (e.g., Roese et al. 1999; Seta et al. 2001). The behavioral type manipulation involved asking par- ticipants to think about a decision that was either similar to this habit and characteristic or that was different from this habit and characteristic. In all cases, participants were asked specifically to think about a time when their decision produced a mildly negative outcome. Following this ret- rospection, we asked participants to indicate their level of regret on a 10 point scale in which ‘‘1’’ indicated no regret and ‘‘10’’ indicated tremendous regret.",99,participants named the specific habit and behavior themselves,0,,99,"participants named the specific habit and behavior themselves, so we don't know if they had controll over the exception ",1,1,regret,99,we only know that the outcome was mildly negative,0,"""mildly negative outcome"" - tolerable/short-term/non-lasting impact",high frequency (often/regularly/most times/habit,participants need to recall habits
,Seta et al. (2013),40,1,2,1,1,goal maintainance condition,Lucas,8/6/2017,Completed,Gilad,23/8/2017,Yes,Laboratory,Students,USA,60,60,spitted into change goal condition and goal maintainace condition. Total N =119/2 conditions=59.5,,,,,,,,,4,2x2,1x2,splitted change goal conditions and goal maintanance condition leading to two 1x2 designs for contrasting atypical and typical behavior,Between,atypical vs. typical behavior,change goal condition vs goal maintainance condition,Manipulated,behavior that is atypical to a certain habit vs. behavior that is typical,the will to either change or maintain the habit,,behavior that is atypical to a certain habit,behavior that is typical to a certain habit,Yes,splitted change goal conditions and goal maintanance condition leading to two 1x2 designs for contrasting atypical and typical behavior,30,30,Ns computed from df,"Only total N provided, calculated conditions N: 60 / 2 = 30",regret,"In all cases, participants were asked specifically to think about a time when their decision produced a mildly negative outcome. Following this ret- rospection, we asked participants to indicate their level of regret on a 10 point scale in which ‘‘1’’ indicated no regret and ‘‘10’’ indicated tremendous regret.",1 - regret,No,No,Yes,,"p.180, Table 1",6.41,4.39,1.94,1.93,,,,,,,,,,,,,,1.04392416,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=6.41, SD1=1.94, M2 =4.39 , SD2=1.93 , Output: Cohen's d = 1.04392416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04392416,,,,,,,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=6.41, SD1=1.94, M2 =4.39 , SD2=1.93 , Output: Cohen's d = 1.04392416",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.04392416,"Participants were asked, via written instructions, to retrospect about a particular habit or characteristic that they both liked and wanted to maintain, or disliked and wanted to change. In addition, they behaved in a way that was either similar or different from this habit or characteristic. So, participants were asked to think about a characteristic or habit they wanted to either change or maintain and to recall a time in which they made decision having negative outcomes that involved doing something that was either similar or different from this characteristic or habit. Ret- rospection procedures are commonly used in research investigating regret and have been shown to be realistic (e.g., Roese et al. 1999; Seta et al. 2001). The behavioral type manipulation involved asking par- ticipants to think about a decision that was either similar to this habit and characteristic or that was different from this habit and characteristic. In all cases, participants were asked specifically to think about a time when their decision produced a mildly negative outcome. Following this ret- rospection, we asked participants to indicate their level of regret on a 10 point scale in which ‘‘1’’ indicated no regret and ‘‘10’’ indicated tremendous regret.",99,participants named the specific habit and behavior themselves,1,,99,"participants named the specific habit and behavior themselves, so we don't know if they had controll over the exception ",1,1,regret,99,we only know that the outcome was mildly negative,0,"""mildly negative outcome"" - tolerable/short-term/non-lasting impact",high frequency (often/regularly/most times/habit,participants need to recall habits
